Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:00.000,61,0.021465323865413666,0.0,0.04917611926794052,0.0,0.04223766177892685,0.31039848923683167,0.16165509819984436,0.01782844215631485,0.0,0.05607958137989044,0.009720619767904282,0.12207704782485962,0.31181710958480835,0.1010930985212326,0.047911591827869415,0.0,0.0,0.27009421586990356,0.08093749731779099,0.0,0.008898087777197361,0.0,0.0,0.0,0.13921292126178741,0.0,0.0,0.037325624376535416,0.0,0.0,0.21711334586143494,0.0,0.026785388588905334,0.08636629581451416,0.08164878189563751,0.08526827394962311,0.05231968313455582,0.0,0.0,0.12794367969036102,0.0,0.09322232753038406,0.13145777583122253,0.08541689813137054,0.026783853769302368,0.0,0.04053831845521927,0.08779770135879517,0.0933237075805664,0.052293017506599426,0.09770970046520233,0.0,0.05055098235607147,0.0,0.03707044944167137,0.0,0.0,0.0,0.018321335315704346,0.0,0.0
00:00:00:01.000,61,0.02024150639772415,0.0,0.04544980078935623,0.0,0.04273349791765213,0.3134772479534149,0.1640356481075287,0.015584863722324371,0.0,0.05734466016292572,0.006962936371564865,0.12497138977050781,0.31289082765579224,0.10302615165710449,0.047608546912670135,0.0,0.0,0.2771603763103485,0.08189816772937775,0.0,0.00883712712675333,0.0,0.0,0.0,0.13880935311317444,0.0,0.0,0.03648371621966362,0.0,0.0,0.2182886302471161,0.0,0.026634544134140015,0.08559909462928772,0.07894617319107056,0.08470320701599121,0.05132445693016052,0.0,0.0,0.12941403687000275,0.0,0.09379106014966965,0.1323850452899933,0.08537857234477997,0.026992619037628174,0.0,0.04136180132627487,0.08802053332328796,0.09435337036848068,0.05014808475971222,0.09735174477100372,0.0,0.05099503695964813,0.0,0.036568623036146164,0.0,0.0,0.0,0.01669374108314514,0.0,0.0
00:00:00:02.000,61,0.016865961253643036,0.0,0.04263528436422348,0.0,0.04389546066522598,0.32109200954437256,0.16827520728111267,0.010102130472660065,0.0,0.05865253508090973,0.004898902028799057,0.129774808883667,0.319303035736084,0.10752752423286438,0.047431789338588715,0.0,0.0,0.28222355246543884,0.08261346817016602,0.0,0.007612266577780247,0.0,0.0,0.0,0.14127805829048157,0.0,0.0,0.036295365542173386,0.0,0.0,0.21970850229263306,0.0,0.026449397206306458,0.0843745768070221,0.07660210132598877,0.08464764058589935,0.05059317499399185,0.0,0.0,0.1309778392314911,0.0,0.09584034234285355,0.13528764247894287,0.08745579421520233,0.026493936777114868,0.0,0.04153215140104294,0.09016796946525574,0.09671052545309067,0.04791553318500519,0.09680019319057465,0.0,0.050927549600601196,0.0,0.03443888947367668,0.0,0.0,0.0,0.016446322202682495,0.0,0.0
00:00:00:03.000,61,0.012025125324726105,0.0,0.040358833968639374,0.0,0.04585777968168259,0.3332862854003906,0.17515486478805542,0.0030850544571876526,0.0,0.059927359223365784,0.0028692595660686493,0.13650965690612793,0.3287956714630127,0.1146855354309082,0.04649340361356735,0.0,0.0,0.2906745970249176,0.08354002982378006,0.0,0.0068628424778580666,0.0,0.0,0.0,0.14364834129810333,0.0,0.0,0.03516769036650658,0.0,0.0,0.22154316306114197,0.0,0.026001930236816406,0.0823994129896164,0.07344971597194672,0.08423580229282379,0.04875299334526062,0.0,0.0,0.13269788026809692,0.0,0.09901580959558487,0.14011120796203613,0.09157775342464447,0.025818288326263428,0.0,0.04182366281747818,0.09284046292304993,0.10075122863054276,0.04426778852939606,0.0963965505361557,0.0,0.04995010793209076,0.0,0.03108842298388481,0.0,0.0,0.0,0.017135202884674072,0.0,0.0
00:00:00:04.000,61,0.011386506259441376,0.0,0.039500631392002106,0.0,0.04306492954492569,0.3422560393810272,0.18001902103424072,0.0008542314171791077,0.0,0.061450615525245667,0.002151127904653549,0.1421467661857605,0.3337536156177521,0.11915625631809235,0.04603777080774307,0.0,0.0,0.2996465861797333,0.08263510465621948,0.0,0.005050116218626499,0.0,0.0,0.0,0.1445736438035965,0.0,0.0,0.034077238291502,0.0,0.0,0.22466927766799927,0.0,0.024397358298301697,0.0783233791589737,0.07115381956100464,0.08302277326583862,0.046352796256542206,0.0,0.0,0.1365724503993988,0.0,0.10104025900363922,0.14478915929794312,0.09598664939403534,0.02586379647254944,0.0,0.04170694202184677,0.09427979588508606,0.10427310317754745,0.04073195159435272,0.0967143326997757,0.0,0.05233173072338104,0.0,0.029769059270620346,0.0,0.0,0.0,0.016660571098327637,0.0,0.0
00:00:00:05.000,61,0.013987891376018524,0.0,0.0390767827630043,0.0,0.03820309787988663,0.34420692920684814,0.18198272585868835,0.0024122148752212524,0.0,0.06332175433635712,0.0008840449154376984,0.14506009221076965,0.3319888114929199,0.12046240270137787,0.0460430309176445,0.0,0.0,0.3084653913974762,0.08124949038028717,0.0,0.0027435505762696266,0.0,0.0,0.0,0.15022607147693634,0.0,0.0,0.033463459461927414,0.0,0.0,0.22787344455718994,0.0,0.022612623870372772,0.07354994118213654,0.06866486370563507,0.08145628869533539,0.04386933147907257,0.0,0.0,0.14122822880744934,0.0,0.10073366016149521,0.147739976644516,0.09942738711833954,0.026125624775886536,0.0,0.04059585928916931,0.0950196385383606,0.10765179991722107,0.037517741322517395,0.0980074480175972,0.0,0.05460415035486221,0.0,0.02917761728167534,0.0,0.0,0.0,0.014768034219741821,0.0,0.0
00:00:00:06.000,61,0.014725811779499054,0.0,0.04101096838712692,0.0,0.0353112667798996,0.34413468837738037,0.18084409832954407,0.0019800588488578796,0.0,0.06366969645023346,0.0009215585887432098,0.1460070013999939,0.3302023410797119,0.1196054220199585,0.04781437665224075,0.0,0.0,0.31453850865364075,0.08136007189750671,0.0,1.2748874723911285e-05,0.0,0.0,0.0,0.16212435066699982,0.0,0.0,0.03448566421866417,0.0,0.0,0.22989600896835327,0.0,0.021995969116687775,0.06958703696727753,0.06698541343212128,0.08039431273937225,0.04251707345247269,0.0,0.0,0.14687633514404297,0.0,0.10079912841320038,0.14951106905937195,0.10288666188716888,0.025275692343711853,0.0,0.03869422525167465,0.09995217621326447,0.11245135962963104,0.03696151077747345,0.10179360210895538,0.0,0.05644974857568741,0.0,0.02836664393544197,0.0,0.0,0.0,0.015086904168128967,0.0,0.0
00:00:00:07.000,61,0.007602907717227936,0.0,0.043821536004543304,0.0,0.033675163984298706,0.3427932858467102,0.1803816556930542,0.0,0.0,0.06268717348575592,0.004471570253372192,0.147175133228302,0.3275431990623474,0.11546239256858826,0.04841654747724533,0.0,0.0,0.3205302059650421,0.08230846375226974,0.0,0.0,0.0,0.0,0.0,0.16767939925193787,0.0,0.0,0.0354575552046299,0.0,0.0,0.23127973079681396,0.0,0.02160891890525818,0.06786404550075531,0.065775066614151,0.07934550940990448,0.04208271577954292,0.0,0.0,0.15062977373600006,0.0,0.10558739304542542,0.14794662594795227,0.11224015057086945,0.03195776045322418,0.0,0.03571433573961258,0.09821607172489166,0.11721610277891159,0.0351073294878006,0.109944649040699,0.0,0.05903586745262146,0.0,0.030020926147699356,0.0,0.0,0.0,0.008742019534111023,0.0,0.0
00:00:00:08.000,61,0.0,0.0,0.07209900766611099,0.0,0.051444508135318756,0.3361160159111023,0.1888444721698761,0.009200625121593475,0.0,0.05576619505882263,0.0,0.13299906253814697,0.33036619424819946,0.11368830502033234,0.04918842762708664,0.0,0.0,0.32954999804496765,0.08560215681791306,0.0,0.0032096141949295998,0.0,0.0,0.0,0.17040254175662994,0.0,0.0,0.03543546423316002,0.0,0.0,0.23314321041107178,0.0,0.021399900317192078,0.0654897689819336,0.06245991215109825,0.0776204913854599,0.040593236684799194,0.0,0.0,0.15313774347305298,0.0,0.07743518054485321,0.128820538520813,0.1257099062204361,0.06527388095855713,0.0,0.043665073812007904,0.0937274694442749,0.11357183754444122,0.028632476925849915,0.11511924862861633,0.0,0.059431008994579315,0.0,0.03131696954369545,0.0,0.0,0.0,0.009500324726104736,0.0,0.0
00:00:00:09.000,61,0.0,0.0018596574664115906,0.07808686047792435,0.0,0.044923655688762665,0.3341849446296692,0.179063618183136,0.0313711017370224,0.0,0.07028377056121826,0.0,0.12067918479442596,0.3223378658294678,0.08805786073207855,0.050759457051754,0.0,0.0,0.3380213677883148,0.08512778580188751,0.0,0.004189514555037022,0.0,0.0,0.0,0.1716862916946411,0.0,0.0,0.034970831125974655,0.0,0.0,0.2381797432899475,0.0,0.02015039324760437,0.06082623079419136,0.061471667140722275,0.07615366578102112,0.03858520835638046,0.0,0.0,0.1592191904783249,0.0,0.052384380251169205,0.10991369932889938,0.140617236495018,0.08257186412811279,0.0,0.043003588914871216,0.09195448458194733,0.10581135749816895,0.04092387855052948,0.10135814547538757,0.0,0.06991232931613922,0.0,0.026272978633642197,0.0,0.0,0.0,0.007727757096290588,0.0,0.0
